2022-04-01 17:49:04.563 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-04-01 17:49:04.617 [http-nio-9090-exec-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-01 17:53:21.319 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-01 17:53:21.323 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-01 17:53:22.980 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31925 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:53:22.981 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:53:23.000 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-01 17:53:23.000 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-01 17:53:23.346 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:53:23.350 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:53:23.350 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:53:23.350 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:53:23.368 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-01 17:53:23.369 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 369 ms
2022-04-01 17:53:23.608 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-04-01 17:53:23.620 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-04-01 17:53:23.633 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-01 17:53:23.639 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Started DriveSpringbootApplication in 0.854 seconds (JVM running for 1.192)
2022-04-01 17:53:28.531 [http-nio-9090-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-01 17:53:28.531 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-01 17:53:28.532 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-04-01 17:53:28.586 [http-nio-9090-exec-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-01 17:58:00.137 [Thread-5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-01 17:58:00.143 [Thread-5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-01 17:58:00.209 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 31925 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
2022-04-01 17:58:00.209 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-01 17:58:00.290 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-04-01 17:58:00.291 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-04-01 17:58:00.291 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-01 17:58:00.291 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-01 17:58:00.295 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
